OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
75473,Masonic Ave&Oak St SW-FS/BZ,MSICOAK0,MSICOAK,5717,37.77173,-122.44573,,OAK ST,MASONIC AVE,FS,SW,BZ,1,1729767266000,15736706,147,5,POINT (-122.44573 37.77173),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,11,3,25,25
73010,46th Ave&Pacheco St NW-NS/PS,46AVPAC0,46AVPACH,3590,37.749331,-122.505239,,PACHECO ST,46TH AVE,NS,NW,,0,1729767266000,15728393,147,4,POINT (-122.505239 37.749331),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
73220,California St&Park Presidio Blvd NW,CALIPKP0,CALIPKPR,3886,37.784514,-122.47295199999999,1,PARK PRESIDIO BLVD,CALIFORNIA ST,FS,NW,BZ,0,1729767266000,15728951,147,1,POINT (-122.472952 37.784514),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,2,2
75756,Sloat Blvd&34th Ave NW-FS/BZ,SLOA34A0,SLOA34AV,6441,37.734141,-122.491607,,34TH AVE,SLOAT BLVD,FS,NW,BZ,0,1729767266000,15735465,147,4,POINT (-122.491607 37.734141),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
74620,23rd Ave&Lincoln Way SW-FS/SB,23AVLWA0,23AVLWAY,3445,37.765026,-122.48160899999999,,LINCOLN WY,23RD AVE,FS,SW,,0,1729767266000,15734386,147,4,POINT (-122.481609 37.765026),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
73412,Embarcadero Folsom St N-NS/SI,EMBRFONO,EMBRFOLS,4510,37.790749,-122.389841,1,FOLSOM ST,THE EMBARCADERO,NS,SE,,0,1729767266000,15729900,147,6,POINT (-122.389841 37.790749),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,1,10,8,30,30
73954,Jackson St&Taylor St N-MI,JACKTAY0,JACKTAYL,5164,37.795255,-122.413202,,JONES ST,JACKSON ST,MI,NO,,0,1729767266000,15731199,147,3,POINT (-122.413202 37.795255),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,21,16,16
73352,Drumm St&California St NE-FS/BZ,DRUMCAL0,DRUMCALI,4445,37.79398,-122.39635,,CALIFORNIA ST,DRUMM ST,FS,NE,BZ,0,1729767266000,15729344,147,3,POINT (-122.39635 37.79398),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,8,108,108
72709,24th St&Sanchez St NE-NS,24STSNC0,24STSNCZ,3481,37.751644999999996,-122.42955,,SANCHEZ ST,24TH ST,NS,NE,,0,1729767266000,15727473,147,8,POINT (-122.42955 37.751645),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,22,84,84
74014,King St&4th St W-NS/SI,KING.4SW,KING.4ST,5240,37.776269,-122.394082,1,04TH ST,KING ST,NS,WE,SI,0,1729767266000,15731739,147,6,POINT (-122.394082 37.776269),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,1,10,4,34,34
75155,Upper Ter&Masonic Ave N-NS/SB,UP TMSIC,UP TMSIC,6797,37.76545,-122.44337999999999,,MASONIC AVE,UPPER TER,NS,NO,,0,1729767266000,15737955,147,8,POINT (-122.44338 37.76545),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,5,3,112,112
75056,Taylor St&Bay St SE-FS,TAYLBAY0,TAYLBAY.,6642,37.805231,-122.41519199999999,,FRANCISCO ST,TAYLOR ST,MB,EA,,0,1729767266000,15734812,147,3,POINT (-122.415192 37.805231),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,23,106,106
75698,San Bruno Ave&Somerset St  E-MB/BZ,SBROSOMI,,7191,37.713395,-122.401995,1,SOMERSET ST,SAN BRUNO AVE,,EA,,0,1729767266000,15738463,147,10,POINT (-122.401995 37.713395),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,9,40,75,75
72728,15th Ave&Taraval St SE-NS/PS,15AVTAR0,15AVTARA,3266,37.743124,-122.47129699999999,1,TARAVAL ST,15TH AVE,NS,SE,,1,1729767266000,15727523,147,7,POINT (-122.471297 37.743124),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,41,46,46
74817,Sunset Blvd&Ocean Ave NW-NS/SB,SUNSOCE0,SUNSOCEN,6541,37.732026,-122.493862,,OCEAN AVE,SUNSET BLVD,NS,NW,,0,1729767266000,15733070,147,4,POINT (-122.493862 37.732026),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,35,43,43
75500,Mission St&Italy Ave W-MB/BZ,MISSITA1,MISSITAL,5598,37.71915,-122.439087,,ITALY AVE,MISSION ST,MB,WE,BZ,1,1729767266000,15733680,147,11,POINT (-122.439087 37.71915),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,28,80,80
74292,Burnett Ave&Dawnview Way  NE-FS/SB,BRNTDNV0,,7685,37.748059,-122.444904,,GLENVIEW DR,BURNETT AVE,,,,0,1729767266000,15738709,147,8,POINT (-122.444904 37.748059),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,5,38,51,51
74462,16th Street & 4th Street NW/FS/BZ,16ST4ST1,,7767,37.766864,-122.390891,,04TH ST,16TH ST,,,,0,1729767266000,15738888,147,6,POINT (-122.390891 37.766864),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,1,10,4,34,34
75138,Plymouth Ave&Lobos St NW-NS,PLYMLOB0,PLYMLOBO,5965,37.71501,-122.45613,,LOBOS ST,PLYMOUTH AVE,NS,NW,FL,0,1729767266000,15736451,147,11,POINT (-122.45613 37.71501),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,1,24,81,81
73965,McAllister St&Divisadero St SW-NS,MCALDIV1,MCALDIVI,5390,37.77773,-122.43851,,DIVISADERO ST,MCALLISTER ST,NS,SW,BZ,0,1729767266000,15731227,147,5,POINT (-122.43851 37.77773),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,7,11,39,97,97
